No.;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14
15;0;0;1;0;0;1;3;3;0;6;6;6;6
16;1;2;3;2;3;3;1;8;6;10;10;10;10
19;0;0;0;3;4;4;6;6;2;3;11;11;11
36;0;0;1;0;0;1;3;3;0;6;6;6;6
37;0;0;1;0;0;1;3;3;0;6;6;6;6
38;0;0;1;0;0;1;3;3;0;6;6;6;6
39;0;0;1;0;0;1;3;3;0;6;6;6;6
40;0;0;1;3;4;1;6;6;2;9;9;9;9
41;1;2;3;2;3;3;1;8;5;9;9;9;9
42;1;2;3;2;3;3;1;1;6;7;7;7;7
43;0;0;1;0;0;1;3;3;8;9;9;9;9
44;0;0;1;0;0;2;7;7;8;5;5;5;5
45;1;2;3;2;3;3;1;1;6;10;10;10;10
46;1;2;3;2;3;3;1;1;6;7;7;7;7
47;0;0;0;3;4;2;6;1;8;5;11;11;11
49;0;0;1;0;0;1;3;3;0;6;6;6;6
50;0;0;1;0;0;1;3;3;0;6;6;6;6
52;0;0;1;0;0;2;3;3;0;0;0;0;0
54;0;0;1;0;0;1;3;3;8;9;9;9;9
55;1;2;3;2;3;3;1;8;6;10;10;10;10
60;0;0;0;4;5;0;5;5;3;4;4;4;4
61;1;2;3;2;3;3;1;8;5;2;2;2;2
73;0;0;0;0;2;5;0;0;7;0;0;0;0
76;0;0;1;0;2;5;0;0;7;0;0;0;0
78;0;0;1;0;2;5;0;0;7;0;0;0;0
81;0;0;1;0;2;5;0;0;7;8;8;8;8
83;0;0;1;0;2;5;0;0;7;8;8;8;8
85;0;0;1;0;0;2;7;7;4;5;5;12;12
86;0;0;0;0;2;5;0;0;7;0;0;0;0
93;0;0;1;0;2;5;0;0;7;0;0;0;0
96;0;0;1;0;2;5;0;0;7;0;0;0;0
101;0;0;1;0;2;5;0;0;7;0;0;0;0
102;0;0;0;3;4;4;6;6;2;3;3;3;3
105;0;0;1;0;2;5;0;0;7;0;0;0;0
111;0;0;1;0;2;1;3;3;0;0;0;0;0
112;0;0;1;0;2;5;0;0;7;0;0;0;0
113;0;0;1;0;0;2;3;3;8;5;5;5;5
116;0;0;0;0;2;2;0;0;8;0;0;0;0
119;0;2;3;2;3;2;7;7;8;5;5;5;5
120;0;0;1;0;2;2;0;0;8;0;0;0;0
121;0;0;1;0;2;2;0;0;8;0;0;0;0
122;0;0;1;0;5;2;7;7;8;5;5;5;5
123;1;2;3;2;3;3;1;8;5;2;2;2;2
142;1;2;3;2;3;3;1;1;6;10;10;10;10
143;0;0;1;0;0;2;7;7;8;5;5;5;5
154;0;0;0;3;4;4;6;6;2;3;3;3;3
155;0;0;0;3;4;4;6;6;2;3;3;3;3
156;0;0;0;3;4;4;6;6;2;3;3;3;3
157;0;0;0;3;4;4;6;6;2;3;3;3;3
158;0;0;0;3;4;4;6;6;2;3;3;3;3
160;0;0;0;4;5;0;4;4;3;4;4;4;13
161;0;0;0;4;5;0;4;4;3;4;4;4;13
162;1;1;2;1;1;6;2;2;1;1;1;1;1
163;0;0;0;4;5;0;4;4;3;4;4;4;13
166;1;1;2;1;1;6;2;2;1;1;1;1;1
167;0;0;0;4;5;0;5;5;3;4;4;4;4
168;1;1;2;1;1;6;2;2;1;1;1;1;1
169;0;0;0;4;5;0;5;5;3;4;4;4;4
170;0;0;0;4;5;0;5;5;3;4;4;4;4
171;1;0;0;4;5;0;5;5;3;4;4;4;4
172;1;1;2;1;1;6;2;2;1;1;1;1;1
173;0;0;0;4;5;0;5;5;3;4;4;4;4
174;1;1;2;1;1;6;2;2;1;1;1;1;1
179;1;1;2;1;1;6;2;2;9;1;1;1;1
184;0;0;1;0;0;2;7;7;8;5;5;5;5
187;1;1;2;1;1;6;2;2;1;1;1;1;1
