No.;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14
1;0;2;0;3;5;6;0;6;2;0;0;0;0
2;1;0;2;4;4;4;6;8;8;8;8;8;8
3;0;2;3;2;2;3;3;6;6;9;9;9;9
4;0;2;3;2;2;3;3;6;6;9;9;9;9
5;1;0;2;4;4;4;6;8;8;8;8;8;8
6;0;2;3;2;2;3;3;6;6;9;9;9;9
7;0;2;0;1;1;0;0;2;2;0;0;0;0
8;0;2;3;3;5;6;5;4;4;5;5;5;5
9;1;0;2;4;4;4;6;8;8;8;8;8;8
10;1;0;2;4;4;4;6;8;8;8;8;8;8
11;1;0;2;4;4;4;0;8;8;0;8;8;8
12;1;0;2;4;4;4;6;8;8;8;8;8;8
13;1;0;2;4;4;4;6;8;8;8;8;8;8
14;1;0;2;4;4;4;6;8;8;8;8;8;8
15;1;1;1;0;0;1;1;3;3;1;1;1;1
16;1;1;1;0;3;5;4;1;1;4;4;4;4
17;0;0;0;3;5;6;5;7;7;6;5;5;5
18;1;0;2;4;4;4;6;8;8;8;8;8;8
19;1;1;1;0;0;1;1;3;3;1;1;1;1
20;1;0;2;4;0;1;6;3;3;8;1;1;1
21;1;0;2;4;4;4;6;8;8;8;8;8;8
22;1;0;2;4;4;4;6;8;8;8;8;8;8
23;0;2;0;3;5;6;0;6;4;0;0;0;0
24;1;0;2;4;4;4;6;8;8;8;8;8;8
25;0;0;0;1;1;0;0;2;2;0;0;0;0
26;1;0;2;4;4;4;6;8;8;8;8;8;8
27;1;0;2;3;5;6;5;7;7;6;5;5;5
28;1;0;2;4;4;4;6;8;8;8;8;8;8
29;1;0;2;4;4;4;6;8;8;8;8;8;8
30;1;0;2;4;4;4;6;8;8;8;8;8;8
31;1;0;2;4;4;4;6;8;8;8;8;8;8
32;0;2;0;1;5;6;0;6;6;0;0;0;0
33;1;0;2;4;4;4;6;8;8;8;8;8;8
34;0;2;0;3;5;6;5;4;4;5;5;5;5
35;1;0;2;4;4;4;6;8;8;8;8;8;8
36;1;1;2;4;0;1;1;3;3;1;1;1;1
37;1;1;1;0;0;1;1;3;3;1;1;1;1
38;1;1;1;0;0;1;1;3;3;1;1;1;1
39;1;1;1;0;0;1;1;3;3;1;1;1;1
40;1;0;2;4;0;1;1;3;3;1;1;1;1
41;1;1;1;0;3;5;4;1;1;4;4;4;4
42;1;1;1;0;3;5;4;1;1;4;1;1;1
43;1;1;1;0;3;1;1;3;3;1;1;1;1
44;1;1;1;0;0;1;1;3;3;1;1;1;1
45;1;1;1;0;3;5;4;1;1;4;4;4;4
46;1;1;1;0;0;1;1;3;3;1;1;1;1
47;1;1;1;0;3;5;4;1;1;1;1;1;1
48;1;0;2;4;4;4;6;8;8;8;8;8;8
49;1;1;1;0;0;1;1;3;3;1;1;1;1
50;1;1;2;4;0;1;1;3;3;1;1;1;1
51;1;0;2;4;4;4;6;8;8;8;8;8;8
52;1;1;1;0;3;1;1;3;3;1;1;1;1
53;1;0;2;4;0;4;6;8;8;8;8;8;8
54;1;1;1;0;0;1;1;3;3;1;1;1;1
55;1;1;1;0;3;5;4;1;1;4;4;4;4
56;1;0;2;3;0;6;5;7;7;6;6;6;6
57;1;0;2;4;4;4;6;8;8;8;8;8;8
58;0;2;3;3;5;6;0;6;6;0;0;0;0
59;1;0;2;3;0;6;5;7;7;6;6;6;6
60;1;1;1;0;0;1;1;3;3;1;11;11;11
61;1;1;1;0;3;5;4;1;1;4;4;4;4
62;1;1;1;0;3;5;1;3;3;1;11;11;11
63;1;0;2;3;0;6;5;7;7;6;6;6;6
64;1;0;0;3;5;6;5;7;7;6;6;6;6
65;0;0;0;3;5;6;5;7;7;6;5;5;5
66;1;0;2;3;0;6;5;7;7;6;6;6;6
67;1;1;1;3;5;6;5;4;4;5;11;11;11
68;0;2;0;3;5;6;5;7;7;5;5;5;5
69;0;0;0;3;5;6;5;7;7;6;5;5;5
70;0;2;3;2;5;6;3;4;4;5;9;9;9
71;0;2;0;3;5;6;5;4;4;5;5;5;5
72;0;0;0;3;5;6;5;4;4;5;5;5;5
73;1;1;1;0;3;5;4;1;1;4;11;11;11
74;1;0;2;3;0;1;5;7;7;6;6;6;6
75;1;0;2;3;0;1;5;7;7;6;6;6;6
76;1;1;1;0;0;1;1;7;7;6;11;11;11
77;1;0;2;3;0;6;5;7;7;6;6;6;6
78;1;0;2;4;0;1;1;7;7;6;6;6;6
79;1;1;1;3;5;6;0;4;4;0;11;11;11
80;0;2;0;3;5;6;5;7;7;5;5;5;5
81;1;0;2;4;0;1;1;3;3;1;6;6;6
82;0;2;0;3;5;6;5;4;4;5;5;5;5
83;1;0;2;4;0;1;1;7;7;6;6;6;6
84;1;0;2;3;0;1;5;7;7;6;6;6;6
85;1;0;2;4;0;1;1;3;3;1;6;6;6
86;1;1;1;3;0;1;1;7;7;6;11;11;11
87;0;0;0;3;5;6;5;7;7;6;5;5;5
88;0;0;0;3;5;6;5;7;7;6;5;5;5
89;1;1;1;3;0;1;5;7;7;6;6;6;6
90;1;0;2;3;0;1;5;7;7;6;6;6;6
91;1;1;1;3;5;6;5;7;7;6;5;5;5
92;1;0;0;3;5;6;5;7;7;6;6;6;6
