k;Inertia;Distortion;Silhouette
2;7141.417303159995;4.162832589845943;0.24598683331433735
3;5856.475194787445;3.774024211490785;0.2110065461813036
4;5150.661989953567;3.5839099379153616;0.20468309822397826
5;4579.416089385112;3.357982166502301;0.2203948677784855
6;4295.090082183431;3.231269592802373;0.18563515883513965
7;4056.5712292643093;3.1328622171213723;0.17144002691882784
8;3885.86780609511;3.0773018895072113;0.1740104646226799
9;3693.476890398276;2.9978085796256173;0.17624411022982517
10;3546.2503560521536;2.9408737387399535;0.17324802608723114
11;3416.998675794521;2.9073861281151956;0.16892141687803158
12;3310.1349019202817;2.867967089779702;0.1617723160291609
13;3193.712992446399;2.811916496429997;0.15958965845519563
14;3110.8950013424774;2.781048086599495;0.1606213546421916
